日期,開盤,收盤,現金,持股,持股價值,總價值,報酬率,動作,交易信號,買入機率,賣出機率
2024-09-04,2420.192383,2448.977051,2070.2125817984343,47612,116600695.352212,116602765.5647938,115.6027655647938,buy,,0.8070999999999999,0.0005
2024-09-05,2448.986816,2367.737549,2070.2125817984343,47612,112732720.182988,112734790.3955698,111.7347903955698,buy,,0.9343,0.0001
2024-09-06,2367.700928,2223.876465,2070.2125817984343,47612,105883206.25157999,105885276.46416178,104.88527646416178,buy,,0.988,0.0
2024-09-07,2223.929199,2274.107178,2070.2125817984343,47612,108274790.958936,108276861.1715178,107.27686117151781,buy,,0.9878,0.0
2024-09-08,2274.437744,2297.292969,2070.2125817984343,47612,109378712.840028,109380783.0526098,108.3807830526098,buy,,0.9747,0.0
2024-09-09,2297.89624,2358.482178,2070.2125817984343,47612,112292053.458936,112294123.6715178,111.29412367151781,buy,,0.9218000000000001,0.0001
2024-09-10,2358.497803,2389.581055,2070.2125817984343,47612,113772733.19066,113774803.4032418,112.7748034032418,buy,,0.8981,0.0007000000000000001
2024-09-11,2389.60376,2339.841553,2070.2125817984343,47612,111404536.021436,111406606.2340178,110.4066062340178,buy,,0.8593000000000001,0.0002
2024-09-12,2339.84082,2361.781738,2070.2125817984343,47612,112449152.109656,112451222.3222378,111.45122232223781,buy,,0.9312,0.0001
2024-09-13,2361.740967,2441.607178,2070.2125817984343,47612,116249800.958936,116251871.1715178,115.2518711715178,buy,,0.9615,0.0004
2024-09-14,2441.580811,2418.595703,2070.2125817984343,47612,115154178.61123599,115156248.82381779,114.15624882381779,buy,,0.9665,0.0003
2024-09-15,2418.266113,2320.897217,2070.2125817984343,47612,110502558.29580401,110504628.5083858,109.5046285083858,buy,,0.975,0.0
2024-09-16,2320.894531,2295.283691,2070.2125817984343,47612,109283047.095892,109285117.3084738,108.2851173084738,buy,,0.9481999999999999,0.0
2024-09-17,2295.284424,2341.707764,2070.2125817984343,47612,111493390.05956802,111495460.27214982,110.49546027214981,buy,,0.9681000000000001,0.0
2024-09-18,2341.73291,2369.729004,2070.2125817984343,47612,112827537.33844799,112829607.55102979,111.82960755102978,buy,,0.9793999999999999,0.0
2024-09-19,2369.374756,2464.752197,2070.2125817984343,47612,117351781.603564,117353851.8161458,116.35385181614579,buy,,0.9918,0.0003
2024-09-20,2464.782227,2561.072021,2070.2125817984343,47612,121937761.063852,121939831.2764338,120.9398312764338,buy,,0.9767,0.002
