Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-07-26,32.275002,32.299999,32.087502,30.591986,17586968.0,0,0
2023-07-27,32.287498,32.375,32.25,30.830055,16027612.0,0,0
2023-07-28,32.349998,32.474998,32.25,30.830055,10722548.0,0,0
2023-07-31,32.575001,32.662498,32.0625,30.663404,28994208.0,0,0
2023-08-01,32.25,32.387501,32.212502,30.818148,17791060.0,0,0
2023-08-02,32.349998,32.362499,31.862499,30.437239,48022884.0,0,0
2023-08-04,31.8125,31.875,31.725,30.294395,26939664.0,0,0
2023-08-07,31.9125,32.174999,31.887501,30.591986,18407492.0,0,0
2023-08-08,32.025002,32.049999,31.6,30.234877,42070044.0,0,0
2023-08-09,31.700001,31.9125,31.6625,30.282492,14657596.0,0,0
2023-08-10,31.725,31.75,31.575001,30.092037,43583592.0,0,0
2023-08-11,31.75,31.8375,31.5375,30.068232,30991408.0,0,0
2023-08-14,31.4125,31.424999,31.025,29.639702,90266740.0,0,0
2023-08-15,31.3125,31.362499,31.15,29.687317,29644352.0,0,0
2023-08-16,31.0375,31.1,30.9,29.532574,72292252.0,0,0
2023-08-17,30.9,31.1625,30.725,29.663511,38535436.0,0,0
2023-08-18,31.049999,31.200001,30.924999,29.484959,30402880.0,0,0
2023-08-21,31.049999,31.112499,30.75,29.282598,40236924.0,0,0
2023-08-22,31.0,31.0875,30.924999,29.52067,14564580.0,0,0
2023-08-23,31.0,31.2875,31.0,29.723028,27136280.0,0,0
2023-08-24,31.6,31.775,31.5625,30.234877,26694756.0,0,0
2023-08-25,31.375,31.375,31.125,29.651609,28754872.0,0,0
2023-08-28,31.2125,31.424999,31.1875,29.842064,17258996.0,0,0
2023-08-29,31.5,31.512501,31.174999,30.008711,25960364.0,0,0
2023-08-30,31.6875,31.762501,31.525,30.13965,22997780.0,0,0
2023-08-31,31.637501,31.637501,31.375,29.925386,17424156.0,0,0
2023-09-01,31.375,31.575001,31.275,29.973001,12327708.0,0,0
2023-09-04,31.475,31.700001,31.4,30.175362,13690652.0,0,0
2023-09-05,31.637501,31.65,31.512501,30.103939,14489636.0,0,0
2023-09-06,31.65,31.674999,31.4625,29.996811,29338084.0,0,0
2023-09-07,31.325001,31.375,31.174999,29.723028,22600776.0,0,0
2023-09-08,31.025,31.125,30.9625,29.592089,22110532.0,0,0
